PS C:\Users\bhavd\Projects\lacunae> python train.py 
Using device: cuda
Total slices: 3903
Epoch 1/30 | train loss: 0.2543 | val loss: 0.2435
Epoch 2/30 | train loss: 0.2068 | val loss: 0.1977
Epoch 3/30 | train loss: 0.2007 | val loss: 0.2037
Epoch 4/30 | train loss: 0.1978 | val loss: 0.1962
Epoch 5/30 | train loss: 0.1952 | val loss: 0.1944
Epoch 6/30 | train loss: 0.1933 | val loss: 0.2181
Epoch 7/30 | train loss: 0.1919 | val loss: 0.2000
Epoch 8/30 | train loss: 0.1908 | val loss: 0.1936
Epoch 9/30 | train loss: 0.1896 | val loss: 0.2007
Epoch 10/30 | train loss: 0.1894 | val loss: 0.1930
Epoch 11/30 | train loss: 0.1880 | val loss: 0.2078
Epoch 12/30 | train loss: 0.1882 | val loss: 0.1932
Epoch 13/30 | train loss: 0.1884 | val loss: 0.2016
Epoch 14/30 | train loss: 0.1874 | val loss: 0.1936
Epoch 15/30 | train loss: 0.1873 | val loss: 0.1930
Epoch 16/30 | train loss: 0.1865 | val loss: 0.2052
Epoch 17/30 | train loss: 0.1864 | val loss: 0.1947
Epoch 18/30 | train loss: 0.1865 | val loss: 0.2005
Epoch 19/30 | train loss: 0.1861 | val loss: 0.1969
Epoch 20/30 | train loss: 0.1857 | val loss: 0.1983
Epoch 21/30 | train loss: 0.1855 | val loss: 0.1935
Epoch 22/30 | train loss: 0.1856 | val loss: 0.1940
Epoch 23/30 | train loss: 0.1850 | val loss: 0.1929
Epoch 24/30 | train loss: 0.1848 | val loss: 0.2044
Epoch 25/30 | train loss: 0.1844 | val loss: 0.1898
Epoch 26/30 | train loss: 0.1855 | val loss: 0.1907
Epoch 27/30 | train loss: 0.1843 | val loss: 0.1996
Epoch 28/30 | train loss: 0.1842 | val loss: 0.1911
Epoch 29/30 | train loss: 0.1841 | val loss: 0.1927
Epoch 30/30 | train loss: 0.1845 | val loss: 0.1911
Loss curve saved to results/loss_curve_8x_ssim.png
PS C:\Users\bhavd\Projects\lacunae> 
